max_features,n_estimators,min_samples_split,solver name,r2 score,rmse score
auto,20,0.6,glucose2,0.17232185830696956,1.1654262690037946
auto,20,0.6,glueminisat,0.1730725148444726,1.4600743849080342
auto,20,0.6,lingeling,0.08896119362789501,1.3519791239133772
auto,20,0.6,lrglshr,0.04606022433685686,1.5597708624981774
auto,20,0.6,minisatpsm,0.10182221698102867,1.2804194325595286
auto,20,0.6,mphaseSAT64,0.14581621916653664,1.4400710093988636
auto,20,0.6,precosat,0.07953942794658786,1.499382993613135
auto,20,0.6,qutersat,0.15641489637486938,1.2436491474541294
auto,20,0.6,rcl,0.08121144584136364,1.279449328951884
auto,20,0.6,restartsat,0.12814678665117618,1.5068162703964996
auto,20,0.6,cryptominisat2011,0.13606103308877648,1.4185144592987313
auto,20,0.6,spear-sw,0.16687562921453603,1.4059845888947975
auto,20,0.6,spear-hw,0.23922644514372227,1.3009225318951672
auto,20,0.6,eagleup,0.38749005004080816,0.9950391058849222
auto,20,0.6,sparrow,0.2166369518152358,1.342766756605372
auto,20,0.6,marchrw,0.25671057711453005,1.3004371057929345
auto,20,0.6,mphaseSATm,0.17265888859302791,1.452849280254687
auto,20,0.6,satime11,0.21568204043633432,1.2683225822286985
auto,20,0.6,tnm,0.18029862891590342,1.2581401394733165
auto,20,0.6,mxc09,0.13206532619222233,1.4518015777717526
auto,20,0.6,gnoveltyp2,0.3385002626553262,1.1833008311398017
auto,20,0.6,sattime,0.24555052777399677,1.2551003123929347
auto,20,0.6,sattimep,0.22881289181367837,1.2327503590126143
auto,20,0.6,clasp2,0.13743885462907313,1.3658327777013735
auto,20,0.6,clasp1,0.12376372406802605,1.3585594522574633
auto,20,0.6,picosat,0.0950340918374255,1.6271231851909935
auto,20,0.6,mphaseSAT,0.16806375029458454,1.4530889901323416
auto,20,0.6,sapperlot,0.11390766104812677,1.476237444922958
auto,20,0.6,sol,0.16478814714708268,1.1619691842879891
auto,20,0.8,ebglucose,-0.0002924754684869857,1.2521374375482661
auto,20,0.8,ebminisat,-8.947683742754897e-05,1.6195673553745902
auto,20,0.8,glucose2,-0.0019067851039524797,1.2822352704434026
auto,20,0.8,glueminisat,-0.0006619710689388381,1.6061457985019099
auto,20,0.8,lingeling,-0.000755010005732526,1.4169855906038964
auto,20,0.8,lrglshr,-5.4282377442538277e-05,1.5970264586115852
auto,20,0.8,minisatpsm,-0.0045386017327537775,1.3541114725584256
auto,20,0.8,mphaseSAT64,-0.0005842091016987627,1.558601426804848
auto,20,0.8,precosat,-0.0006676044905191691,1.5633452759649196
auto,20,0.8,qutersat,-0.006749210415375462,1.3586077080399444
auto,20,0.8,rcl,-0.003626011926739503,1.3372150539526642
auto,20,0.8,restartsat,-0.0020210844439876308,1.615388715518961
auto,20,0.8,cryptominisat2011,-0.00453353355162478,1.529587955524998
auto,20,0.8,spear-sw,-0.0015295746197419025,1.5415496967284783
auto,20,0.8,spear-hw,-0.001075145715536241,1.4923032037331194
auto,20,0.8,eagleup,-0.0024975580980637346,1.27299071776252
auto,20,0.8,sparrow,-0.00025392647651201194,1.5173094836188987
auto,20,0.8,marchrw,-5.708354779998537e-05,1.5084217005744283
auto,20,0.8,mphaseSATm,-0.0022790841633917314,1.599088844649301
auto,20,0.8,satime11,-0.00023198319712247617,1.4323000723058708
auto,20,0.8,tnm,-4.4030870705036307e-07,1.3896367251679802
auto,20,0.8,mxc09,-0.0018515633900078043,1.5597874971221148
auto,20,0.8,gnoveltyp2,-0.00040880016077982084,1.455187927905709
auto,20,0.8,sattime,-1.245276580630339e-05,1.4449940612763226
auto,20,0.8,sattimep,-6.452796955880302e-06,1.4037722676707087
auto,20,0.8,clasp2,-0.005452795178797709,1.4746312331638243
auto,20,0.8,clasp1,-0.0011343199479818544,1.4521591272268817
auto,20,0.8,picosat,-0.003209836542761746,1.713169030712621
auto,20,0.8,mphaseSAT,-0.00579001761957465,1.5977206510759716
auto,20,0.8,sapperlot,-0.0013955786607970921,1.5693490939334975
auto,20,0.8,sol,-0.0005035161234721031,1.2717612724257215
auto,20,1.0,ebglucose,-9.539003297476256e-06,1.2519603391471634
auto,20,1.0,ebminisat,-8.894263247105627e-05,1.6195669228227818
auto,20,1.0,glucose2,-0.000807676122427603,1.2815317603732348
auto,20,1.0,glueminisat,-0.0026122688297709473,1.6077102317631773
